Tipologia intervento,Marca,Modello pompa di calore,Modello caldaia a condensazione,Identificativo modello unità esterna,Identificativo modello unità interna,Potenza termica Pompa di Calore [kWt],Presenza inverter,COP,Potenza termica caldaia a condensazione,Rendimento termico utile caldaia
"2.E,APEN GROUP,AquaPump Hybrid,,HY434IT,,""12,28"",SI,""4,1"",""34,8"",""98,3"""
"2.E,APEN GROUP,AquaPump Hybrid,,HY534IT,,""13,88"",SI,""4,1"",""34,8"",""98,3"""
"2.E,APEN GROUP,AquaPump Hybrid,HYN532IT,HYN532IT,HYN532IT,""14,10"",SI,""4,85"",""33,60"",""96,6"""
"2.E,APEN GROUP,AquaPump Hybrid,HYN432IT,HYN432IT,HYN432IT,""14,10"",SI,""4,85"",""33,60"",""96,6"""
"2.E,APEN GROUP,AquaPump Hybrid,,HY534IT-V4,,15,SI,""4,30"",""34,80"",""98,3"""
"2.E,APEN GROUP,AquaPump Hybrid,,HY434IT-V4,,15,SI,""4,30"",""34,80"",""98,3"""
"2.E,ARISTON,NIMBUS 110 M EXT,GENUS ONE 35,3630205,3301020,""15,00"",SI,""4,50"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 110 M-T EXT,GENUS ONE 24,3630189,3301018,""10,4"",SI,5,""21,5"",""97,7"""
"2.E,ARISTON,NIMBUS 110 M-T EXT,GENUS ONE 30,3630189,3301019,""10,4"",SI,5,""27,5"",""98,4"""
"2.E,ARISTON,NIMBUS 110 M-T EXT,GENUS ONE 35,3630189,3301020,""10,4"",SI,5,""30,3"",""97,7"""
"2.E,ARISTON,NIMBUS 110 M-T EXT,GENUS ONE SYSTEM 24,3630189,3301027,""10,4"",SI,5,""21,5"",""97,7"""
"2.E,ARISTON,NIMBUS 110 M-T EXT,GENUS ONE SYSTEM 35,3630189,3301029,""10,4"",SI,5,""30,3"",""97,7"""
"2.E,ARISTON,NIMBUS 110 M-T EXT,GENUS ONE IN SYSTEM 25,3630189,3301227,""10,4"",SI,5,""21,5"",""97,7"""
"2.E,ARISTON,NIMBUS 110 M-T EXT,GENUS PREMIUM EVO IN SYSTEM 25 EU,3630189,3300737,""10,4"",SI,5,""21,5"",""97,8"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE 30,3630226,3301019,""12,00"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE 35,3630226,3301020,""12,00"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE SYSTEM 30,3630226,3301028,""12,00"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE SYSTEM 35,3630226,3301029,""12,00"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,CLAS ONE SYSTEM 35,3630226,3301032,12,SI,""4,90"",""30,20"",""97,5"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,CLAS ONE 30,3630226,3301022,""12,00 kWt"",SI,""4,90"",""27,40"",""97,9"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,CLAS ONE 35,3630226,3301023,""12,00 kWt"",SI,""4,90"",""30,20"",""97,5"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE+ 30,3630226,3302445,""12,00 kWt"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE+ SYSTEM 30,3630226,3302515,""12,00 kWt"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE+ SYSTEM 35,3630226,3302516,""12,00 kWt"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 120 M EXT R32,GENUS ONE+ 35,3630226,3302513,""12,00 kWt"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE 30,3630227,3301019,""12,00"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE 35,3630227,3301020,""12,00"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE SYSTEM 30,3630227,3301028,""12,00"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE SYSTEM 35,3630227,3301029,""12,00"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE+ 30,3630227,3302445,""12,00 kWt"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE+ SYSTEM 30,3630227,3302515,""12,00 kWt"",SI,""4,90"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE+ SYSTEM 35,3630227,3302516,""12,00 kWt"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 120 M-T EXT R32,GENUS ONE+ 35,3630227,3302513,""12,00 kWt"",SI,""4,90"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 EXT R32,GENUS ONE SYSTEM 35,3630228,3301029,""15,00"",SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 EXT R32,GENUS ONE+ SYSTEM 35,3630228,3302516,""15,00 kWt"",SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 M EXT R32,GENUS ONE 35,3630228,3301020,""15,00"",SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 M EXT R32,CLAS ONE SYSTEM 35,3630228,3301032,15,SI,""4,70"",""30,20"",""97,5"""
"2.E,ARISTON,NIMBUS 150 M EXT R32,CLAS ONE 35,3630228,3301023,""15,00 kWt"",SI,""4,70"",""30,20"",""97,5"""
"2.E,ARISTON,NIMBUS 150 M EXT R32,GENUS ONE+ 35,3630228,3302513,""15,00 kWt"",SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 M-T EXT R32,GENUS ONE 35,3630229,3301020,15,SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 M-T EXT R32,GENUS ONE SYSTEM 35,3630229,3301029,15,SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 M-T EXT R32,GENUS ONE+ SYSTEM 35,3630229,3302516,""15,00 kWt"",SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 150 M-T EXT R32,GENUS ONE+ 35,3630229,3302513,""15,00 kWt"",SI,""4,70"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE 24,3630222,3301018,""5,9"",SI,""4,60"",""21,50"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE 30,3630222,3301019,""5,9"",SI,""4,60"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE 35,3630222,3301020,""5,9"",SI,""4,60"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE SYSTEM 12,3630222,3301025,""5,9"",SI,""4,60"",""11,80"",""98,2"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE SYSTEM 18,3630222,3301026,""5,9"",SI,""4,60"",""17,50"",""97,4"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE SYSTEM 24,3630222,3301027,""5,9"",SI,""4,60"",""21,50"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE SYSTEM 30,3630222,3301028,""5,9"",SI,""4,60"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE SYSTEM 35,3630222,3301029,""5,9"",SI,""4,60"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE IN SYSTEM 25,3630222,3302312,""5,9"",SI,""4,60"",""21,50"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE+ 24,3630222,3302444,""5,90 kWt"",SI,""4,60"",""21,50"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE+ 30,3630222,3302445,""5,90 kWt"",SI,""4,60"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE+ SYSTEM 24,3630222,3302514,""5,90 kWt"",SI,""4,60"",""21,50"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE+ SYSTEM 30,3630222,3302515,""5,90 kWt"",SI,""4,60"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE+ SYSTEM 35,3630222,3302516,""5,90 kWt"",SI,""4,60"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 35 M EXT R32,GENUS ONE+ 35,3630222,3302513,""5,90 kWt"",SI,""4,60"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 35 S EXT R32,GENUS ONE 24,3630230,3301018,""5,9"",SI,""4,60"",""21,50"",""97,7"""
"2.E,ARISTON,NIMBUS 35 S EXT R32,GENUS ONE 30,3630230,3301019,""5,9"",SI,""4,60"",""27,50"",""98,4"""
"2.E,ARISTON,NIMBUS 35 S EXT R32,GENUS ONE 35,3630230,3301020,""5,9"",SI,""4,60"",""30,30"",""97,7"""
"2.E,ARISTON,NIMBUS 35 S EXT R32,GENUS ONE SYSTEM 12,3630230,3301025,""5,9"",SI,""4,60"",""11,80"",""98,2"""
